ID_lab	ID_plant	N	Phen	Flav
685573	CET-2018-2	18,8	45	3,5
685574	CET-2018-3	15,0	50	4,1
685575	CET-2018-4	21,4	25	3,0
685576	CET-2018-5	35,2	27	3,0
685577	CET-2018-6	27,2	21	2,2
685578	CET-2018-8	18,3	55	3,3
685579	CET-2018-9	15,6	44	1,7
685580	CET-2018-10	22,0	18	2,0
685581	CET-2018-11	20,4	38	4,4
685582	CET-2018-12	30,5	22	1,4
685583	CET-2018-13	19,1	43	4,4
685584	CET-2018-14	22,9	37	4,2
685585	CET-2018-17	23,4	27	2,5
685586	CET-2018-18	20,4	32	2,5
685587	CET-2018-19	15,4	45	3,4
685588	CET-2018-20	18,4	66	5,0
685589	CET-2018-21	17,6	79	5,8
685590	CET-2018-22	21,2	28	3,7
685591	CET-2018-23	21,6	61	3,0
685592	CET-2018-25	21,1	54	6,4
685593	CET-2018-26	13,4	81	5,6
685594	CET-2018-27	20,1	41	4,2
685595	CET-2018-28	19,5	23	2,3
685596	CET-2018-29	23,5	26	2,7
685597	CET-2018-30	45,3	6	0,5
685598	CET-2050-1	14,2	51	4,6
685599	CET-2050-4	22,6	74	5,2
685600	CET-2050-5	15,7	46	3,0
685601	CET-2050-6	20,1	52	5,0
685602	CET-2050-7	17,6	46	3,8
685603	CET-2050-8	28,1	31	3,3
685604	CET-2050-9	11,0	80	4,4
685605	CET-2050-10	26,0	33	3,0
685606	CET-2050-11	16,1	51	3,2
685607	CET-2050-12	22,1	61	6,4
685608	CET-2050-14	23,5	41	4,4
685609	CET-2050-16	15,1	51	3,8
685610	CET-2050-19	21,5	58	3,9
685611	CET-2050-20	16,4	67	3,0
685612	CET-2050-21	24,9	31	3,4
685613	CET-2050-22	17,6	45	3,7
685614	CET-2050-23	33,7	28	2,0
685615	CET-2050-24	17,7	60	3,6
685616	CET-2050-25	28,5	23	2,3
685617	CET-2050-26	19,9	44	4,5
685618	CET-2050-27	29,4	25	4,1
685619	CET-2080-1	15,9	75	5,9
685620	CET-2080-2	20,4	60	5,2
685621	CET-2080-3	19,0	51	5,1
685622	CET-2080-4	39,8	20	1,7
685623	CET-2080-5	12,0	67	4,8
685624	CET-2080-6	16,6	77	4,4
685625	CET-2080-7	18,1	30	2,8
685626	CET-2080-8	27,5	12	1,4
685627	CET-2080-9	25,4	42	4,8
685628	CET-2080-10	23,8	47	4,9
685629	CET-2080-12	23,5	29	2,9
685630	CET-2080-13	28,5	36	3,9
685631	CET-2080-14	19,7	30	3,5
685632	CET-2080-15	18,0	45	3,4
685633	CET-2080-16	30,6	28	3,9
685634	CET-2080-17	13,7	43	3,1
685635	CET-2080-18	17,1	53	5,6
685636	CET-2080-19	15,2	53	4,4
685637	CET-2080-21	19,7	54	5,1
685638	CET-2080-22	17,8	80	4,6
685639	CET-2080-23	16,1	49	5,0
685640	CET-2080-24	24,5	47	4,9
685641	CET-2080-25	36,7	35	4,8
685642	CET-2080-26	14,3	73	5,2
685643	CET-2080-27	22,9	47	6,5
685644	CET-2080-28	21,5	36	3,4
