ID_lab	ID_plant	N	Phen	Flav
685716	CHR-2018-1	16,5	92	2,2
685717	CHR-2018-2	14,5	78	2,4
685718	CHR-2018-3	14,1	64	1,1
685719	CHR-2018-4	18,7	49	1,1
685720	CHR-2018-5	8,8	87	3,2
685721	CHR-2018-6	13,2	94	1,8
685722	CHR-2018-7	10,8	91	1,9
685723	CHR-2018-8	13,9	100	2,4
685724	CHR-2018-9	16,6	82	2,2
685725	CHR-2018-10	15,5	88	1,6
685726	CHR-2018-11	14,3	78	2,1
685727	CHR-2018-12	12,9	86	1,5
685728	CHR-2018-13	12,2	76	1,8
685729	CHR-2018-14	13,5	82	2,3
685730	CHR-2018-15	12,9	68	1,6
685731	CHR-2018-16	12,1	63	1,7
685732	CHR-2018-17	16,7	63	1,7
685733	CHR-2018-18	14,6	97	2,0
685734	CHR-2018-19	14,6	81	1,8
685735	CHR-2018-20	15,7	85	1,7
685736	CHR-2050-1	13,6	68	2,4
685737	CHR-2050-2	24,1	90	2,0
685738	CHR-2050-3	16,1	71	1,6
685739	CHR-2050-4	25,4	70	1,6
685740	CHR-2050-5	9,4	69	1,7
685741	CHR-2050-6	18,4	68	1,6
685742	CHR-2050-7	13,2	81	2,1
685743	CHR-2050-8	12,7	82	2,5
685744	CHR-2050-9	12,1	81	1,5
685745	CHR-2050-10	12,1	64	1,8
685746	CHR-2050-11	13,8	110	1,8
685747	CHR-2050-12	13,8	85	1,5
685748	CHR-2050-13	14,6	59	1,6
685749	CHR-2050-14	17,0	65	1,2
685750	CHR-2050-15	17,3	74	1,2
685751	CHR-2050-16	11,9	71	1,0
685752	CHR-2050-17	12,8	84	2,0
685753	CHR-2050-18	13,8	88	1,9
685754	CHR-2050-19	12,7	74	1,6
685755	CHR-2050-20	18,2	78	1,6
685756	CHR-2050-21	13,6	96	2,6
685757	CHR-2050-22	16,9	90	1,5
685758	CHR-2050-23	11,6	75	2,0
685759	CHR-2050-24	15,9	96	2,5
685760	CHR-2050-25	22,8	86	1,8
685761	CHR-2080-1	17,7	78	1,3
685762	CHR-2080-2	23,3	73	1,3
685763	CHR-2080-3	11,3	80	2,4
685764	CHR-2080-4	17,4	67	1,3
685765	CHR-2080-6	16,4	69	1,7
685766	CHR-2080-7	14,3	72	1,9
685767	CHR-2080-8	14,7	110	3,0
685768	CHR-2080-9	16,5	87	1,9
685769	CHR-2080-10	11,7	70	1,8
685770	CHR-2080-11	16,8	67	1,4
685771	CHR-2080-12	13,0	91	2,6
685772	CHR-2080-13	15,1	93	2,2
685773	CHR-2080-14	14,4	55	1,6
685774	CHR-2080-15	26,7	59	1,8
685775	CHR-2080-16	12,0	71	2,4
685776	CHR-2080-17	16,0	64	1,9
685777	CHR-2080-19	16,6	61	1,5
685778	CHR-2080-20	10,6	72	2,4
685779	CHR-2080-21	12,5	84	2,3
685780	CHR-2080-22	17,5	85	1,9
685781	CHR-2080-23	13,0	86	3,0
685782	CHR-2080-24	17,4	91	2,3
