ID_lab	ID_plant	N	Phen	Flav
685783	ERS-2018-1	13,4	130	4,5
685784	ERS-2018-2	18,6	110	3,6
685785	ERS-2018-3	12,2	160	4,9
685786	ERS-2018-4	16,3	120	2,7
685787	ERS-2018-5	17,2	120	4,2
685788	ERS-2018-6	11,6	160	5,3
685789	ERS-2018-7	17,5	100	3,3
685790	ERS-2018-8	19,3	120	4,9
685791	ERS-2018-9	14,8	110	4,8
685792	ERS-2018-10	12,9	150	4,5
685793	ERS-2018-11	16,6	120	4,4
685794	ERS-2018-12	12,0	160	5,0
685795	ERS-2018-13	14,5	110	3,8
685796	ERS-2018-14	12,5	100	3,2
685797	ERS-2018-15	21,2	110	3,3
685798	ERS-2018-16	29,2	66	1,9
685799	ERS-2018-17	34,3	26	1,0
685800	ERS-2018-18	14,8	140	4,3
685801	ERS-2018-19	16,2	120	4,0
685802	ERS-2018-20	12,3	170	5,6
685803	ERS-2018-21	12,1	180	5,7
685804	ERS-2018-22	13,9	130	4,1
685805	ERS-2018-23	16,6	130	3,0
685806	ERS-2018-24	14,9	120	5,1
685807	ERS-2018-25	12,4	160	5,3
685808	ERS-2018-26	17,2	140	3,8
685809	ERS-2018-27	21,0	90	3,3
685810	ERS-2018-28	19,2	110	3,7
685811	ERS-2018-29	29,7	47	2,1
685812	ERS-2018-30	13,1	160	5,3
