Esp	Prov	ID	Brout	Stress	Bloc
CET	2018	11	1	0	1
CET	2018	12	1	2	1
CET	2018	19	0	0	1
CET	2018	20	0	2	1
CET	2018	30	0	2	1
CET	2050	22	0	0	1
CET	2050	23	0	2	1
CET	2050	7	1	0	1
CET	2050	8	1	2	1
CET	2080	10	1	2	1
CET	2080	19	0	0	1
CET	2080	21	0	2	1
CET	2080	9	1	0	1
CHR	2018	1	1	0	1
CHR	2018	11	0	0	1
CHR	2018	12	0	2	1
CHR	2018	2	1	2	1
CHR	2050	1	1	0	1
CHR	2050	11	1	0	1
CHR	2050	12	1	2	1
CHR	2050	15	0	0	1
CHR	2050	16	0	2	1
CHR	2050	2	1	2	1
CHR	2050	25	0	2	1
CHR	2080	13	0	0	1
CHR	2080	14	0	2	1
CHR	2080	24	0	2	1
CHR	2080	8	1	0	1
CHR	2080	9	1	2	1
ERS	2018	1	1	0	1
ERS	2018	2	1	1	1
ERS	2018	3	1	2	1
ERS	2018	16	0	0	1
ERS	2018	17	0	1	1
ERS	2018	18	0	2	1
PIB	2018	1	1	0	1
PIB	2018	16	0	0	1
PIB	2018	17	0	1	1
PIB	2018	18	0	2	1
PIB	2018	2	1	1	1
PIB	2018	3	1	2	1
PIB	2050	1	1	0	1
PIB	2050	16	0	0	1
PIB	2050	17	0	1	1
PIB	2050	18	0	2	1
PIB	2050	4	1	1	1
PIB	2050	5	1	2	1
PIB	2080	12	1	0	1
PIB	2080	13	1	1	1
PIB	2080	14	1	2	1
PIB	2080	21	0	0	1
PIB	2080	22	0	1	1
PIB	2080	23	0	2	1
THO	2018	26	0	0	1
THO	2018	27	0	1	1
THO	2018	4	1	0	1
THO	2018	5	1	1	1
THO	2018	6	1	2	1
THO	2050	10	1	0	1
THO	2050	11	1	1	1
THO	2050	12	1	2	1
THO	2050	21	0	0	1
THO	2050	22	0	1	1
THO	2050	23	0	2	1
THO	2080	1	1	0	1
THO	2080	16	0	0	1
THO	2080	17	0	1	1
THO	2080	18	0	2	1
THO	2080	2	1	1	1
THO	2080	3	1	2	1
CET	2018	13	1	0	2
CET	2018	14	1	2	2
CET	2018	2	1	0	2
CET	2018	21	0	0	2
CET	2018	22	0	2	2
CET	2018	3	1	2	2
CET	2050	10	1	2	2
CET	2050	24	0	0	2
CET	2050	25	0	2	2
CET	2050	9	1	0	2
CET	2080	1	1	0	2
CET	2080	12	1	0	2
CET	2080	13	1	2	2
CET	2080	2	1	2	2
CET	2080	22	0	0	2
CET	2080	23	0	2	2
CHR	2018	13	0	0	2
CHR	2018	14	0	2	2
CHR	2018	3	1	0	2
CHR	2018	4	1	2	2
CHR	2050	17	0	0	2
CHR	2050	18	0	2	2
CHR	2050	3	1	0	2
CHR	2050	4	1	2	2
CHR	2080	10	1	0	2
CHR	2080	11	1	2	2
CHR	2080	15	0	0	2
CHR	2080	16	0	2	2
ERS	2018	4	1	0	2
ERS	2018	5	1	1	2
ERS	2018	6	1	2	2
ERS	2018	19	0	0	2
ERS	2018	20	0	1	2
ERS	2018	21	0	2	2
PIB	2018	19	0	0	2
PIB	2018	20	0	1	2
PIB	2018	21	0	2	2
PIB	2018	4	1	0	2
PIB	2018	5	1	1	2
PIB	2018	6	1	2	2
PIB	2050	19	0	0	2
PIB	2050	20	0	1	2
PIB	2050	21	0	2	2
PIB	2050	6	1	0	2
PIB	2050	7	1	1	2
PIB	2050	8	1	2	2
PIB	2080	24	0	0	2
PIB	2080	25	0	1	2
PIB	2080	26	0	2	2
THO	2018	14	0	0	2
THO	2018	15	0	1	2
THO	2018	16	0	2	2
THO	2018	7	1	0	2
THO	2018	8	1	1	2
THO	2018	9	1	2	2
THO	2050	13	1	2	2
THO	2050	14	1	0	2
THO	2050	24	0	0	2
THO	2050	25	0	1	2
THO	2050	26	0	2	2
THO	2080	19	0	0	2
THO	2080	20	0	1	2
THO	2080	21	0	2	2
THO	2080	4	1	0	2
THO	2080	5	1	1	2
THO	2080	6	1	2	2
CET	2018	23	0	0	3
CET	2018	25	0	2	3
CET	2018	4	1	0	3
CET	2018	5	1	2	3
CET	2050	11	1	0	3
CET	2050	12	1	2	3
CET	2050	26	0	0	3
CET	2050	27	0	2	3
CET	2080	14	1	0	3
CET	2080	24	0	0	3
CET	2080	25	0	2	3
CET	2080	3	1	0	3
CET	2080	4	1	2	3
CHR	2018	15	0	0	3
CHR	2018	16	0	2	3
CHR	2018	5	1	0	3
CHR	2018	6	1	2	3
CHR	2050	19	0	0	3
CHR	2050	20	0	2	3
CHR	2050	5	1	0	3
CHR	2050	6	1	2	3
CHR	2080	1	1	0	3
