ID	Esp	Prov	Bloc	Brout	Stress	Hauteur	Diam	Ram	Maerien	Mracine	Mtot	Ratio		
CET-2018-17	CET	2018	5	0	0	86,5	15	4	57,3	28,6	85,9	2,00		
CET-2018-19	CET	2018	1	0	0	54,5	13,5	3	24,8	17,3	42,1	1,43		
CET-2018-21	CET	2018	2	0	0	101	11	2	53,5	29,1	82,6	1,84		
CET-2018-23	CET	2018	3	0	0	106	13,5	5	64,1	29,5	93,6	2,17		
CET-2018-26	CET	2018	4	0	0	73,5	9,5	5	23,3	11,0	34,3	2,12		
CET-2018-28	CET	2018	5	0	0	92	13,5	6	36,8	15,2	52,0	2,42		
CET-2050-16	CET	2050	4	0	0	84,5	13	9	61,5	38,6	100,1	1,59		
CET-2050-20	CET	2050	5	0	0	97	15,5	10	64,4	22	86,4	2,93		
CET-2050-22	CET	2050	1	0	0	106	13	10	70,1	29,1	99,2	2,41		
CET-2050-24	CET	2050	2	0	0	113	16	4	78,4	26	104,4	3,02		
CET-2050-26	CET	2050	3	0	0	105,5	12	10	51,5	31,4	82,9	1,64		
CET-2080-15	CET	2080	4	0	0	88	11,5	6	42,2	19,5	61,7	2,16		
CET-2080-17	CET	2080	5	0	0	68	11	4	34	12,5	46,5	2,72		
CET-2080-19	CET	2080	1	0	0	103	13	10	60,5	20,7	81,2	2,92		
CET-2080-22	CET	2080	2	0	0	76	10	6	34,4	12,5	46,9	2,75		
CET-2080-24	CET	2080	3	0	0	111	8,5	4	42,2	12,6	54,8	3,35		
CET-2080-26	CET	2080	4	0	0	77	10,5	5	42,1	16,4	58,5	2,57		
CET-2018-18	CET	2018	5	0	2	65	9	1	19,2	10,4	29,6	1,85		
CET-2018-20	CET	2018	1	0	2	87,7	10	6	36,6	9,9	46,5	3,70		
CET-2018-22	CET	2018	2	0	2	83	9,5	6	33,3	11,2	44,5	2,97		
CET-2018-25	CET	2018	3	0	2	92	9,5	5	50,1	22,8	72,9	2,20		
CET-2018-27	CET	2018	4	0	2	81,5	8,5	9	28,3	10,0	38,3	2,83		
CET-2018-29	CET	2018	5	0	2	85	11	3	34,2	14,6	48,8	2,34		
CET-2018-30	CET	2018	1	0	2	22	5	1	1,5	1,1	2,6	1,36		
CET-2050-19	CET	2050	4	0	2	100	11	6	56,6	21,3	77,9	2,66		
CET-2050-21	CET	2050	5	0	2	94	8,5	3	26,6	7,9	34,5	3,37		
CET-2050-23	CET	2050	1	0	2	69	9,5	5	29,3	8,5	37,8	3,45		
CET-2050-25	CET	2050	2	0	2	81	10,5	8	38,4	12,7	51,1	3,02		
CET-2050-27	CET	2050	3	0	2	90	9,5	9	41,5	15,0	56,5	2,77		
CET-2080-16	CET	2080	4	0	2	67	8,5	2	24,1	4,9	29,0	4,92		
CET-2080-18	CET	2080	5	0	2	83,5	10	4	42,4	14,7	57,1	2,88		
CET-2080-21	CET	2080	1	0	2	56,8	10	5	35,4	11,2	46,6	3,16		
CET-2080-23	CET	2080	2	0	2	79	11,5	5	31,9	11,2	43,1	2,85		
CET-2080-25	CET	2080	3	0	2	82	9	7	27,1	5,3	32,4	5,11		
CET-2080-27	CET	2080	4	0	2	95	9	3	29,2	5,2	34,4	5,62		
CHR-2018-1	CHR	2018	1	1	0	16	6,5	1	2,7	1,9	4,6	1,42		
CHR-2018-11	CHR	2018	1	0	0	41	10	3	18,1	25,8	43,9	0,70		
CHR-2018-13	CHR	2018	2	0	0	72,5	10,5	3	30,8	29,3	60,1	1,05		
CHR-2018-15	CHR	2018	3	0	0	50	10,5	1	13,2	19,2	32,4	0,69		
CHR-2018-17	CHR	2018	4	0	0	39	11	4	11,5	16,1	27,6	0,71		
CHR-2018-19	CHR	2018	5	0	0	30,5	8	1	8	11,3	19,3	0,71		
CHR-2018-3	CHR	2018	2	1	0	30	9	1	7,6	7,6	15,2	1,00		
CHR-2018-5	CHR	2018	3	1	0	61,5	12	2	31,5	42,7	74,2	0,74		
CHR-2018-7	CHR	2018	4	1	0	81	13	4	43,2	23,8	67,0	1,82		
CHR-2018-9	CHR	2018	5	1	0	45	9	4	10,5	24,6	35,1	0,43		
CHR-2050-1	CHR	2050	1	1	0	68	12	4	30,7	37	67,7	0,83		
CHR-2050-11	CHR	2050	1	1	0	40	8	1	8,5	25	33,5	0,34		
CHR-2050-13	CHR	2050	5	0	0	74	11,5	2	33,2	37,6	70,8	0,88		
CHR-2050-15	CHR	2050	1	0	0	51,5	11	3	21	27,6	48,6	0,76		
CHR-2050-17	CHR	2050	2	0	0	76	14,5	4	57,5	52,6	110,1	1,09		
CHR-2050-19	CHR	2050	3	0	0	53,5	10	2	21,4	15,9	37,3	1,35		
CHR-2050-21	CHR	2050	4	0	0	78	13,5	3	38,6	27,2	65,8	1,42		
CHR-2050-23	CHR	2050	5	0	0	68	11	2	35,2	17,7	52,9	1,99		
CHR-2050-3	CHR	2050	2	1	0	60	11	3	32,6	34,5	67,1	0,94		
CHR-2050-5	CHR	2050	3	1	0	66	14	3	29,1	28,3	57,4	1,03		
CHR-2050-7	CHR	2050	4	1	0	63,5	13	3	35,3	34,6	69,9	1,02		
CHR-2050-9	CHR	2050	5	1	0	49,5	12	4	27,7	27,8	55,5	1,00		
CHR-2080-1	CHR	2080	3	1	0	23	8	3	6,2	6,4	12,6	0,97		
CHR-2080-10	CHR	2080	2	1	0	42	11	5	29,2	47,2	76,4	0,62		
CHR-2080-12	CHR	2080	3	1	0	44,5	13	3	22	22,7	44,7	0,97		
CHR-2080-13	CHR	2080	1	0	0	61	9,5	3	21	17,5	38,5	1,20		
CHR-2080-15	CHR	2080	2	0	0	34	13	3	10,9	14,5	25,4	0,75		
CHR-2080-17	CHR	2080	3	0	0	35,5	15	5	13,1	16,4	29,5	0,80		
CHR-2080-20	CHR	2080	4	0	0	50,5	12,5	6	31,7	27,7	59,4	1,14		
CHR-2080-22	CHR	2080	5	0	0	32	8	3	5,5	6,6	12,1	0,83		
CHR-2080-3	CHR	2080	4	1	0	93,5	12	1	33,8	33,8	67,6	1,00		
CHR-2080-6	CHR	2080	5	1	0	88,5	13	3	34,1	36,7	70,8	0,93		
CHR-2080-8	CHR	2080	1	1	0	33,5	8,5	3	13,3	6,3	19,6	2,11		
ERS-2018-1	ERS	2018	1	1	0	86,5	10,5	1	26,6	17,1	43,7	1,56		
ERS-2018-10	ERS	2018	4	1	0	105,5	10,5	1	29,5	17,6	47,1	1,68		
ERS-2018-13	ERS	2018	5	1	0	60,5	10	1	18	17,5	35,5	1,03		
ERS-2018-16	ERS	2018	1	0	0	57	9	2	10,5	6,4	16,9	1,64		
ERS-2018-19	ERS	2018	2	0	0	82,5	10	2	22,9	17,7	40,6	1,29		
ERS-2018-22	ERS	2018	3	0	0	132	13	3	53,9	30,1	84,0	1,79		
ERS-2018-25	ERS	2018	4	0	0	125,5	11	3	38,1	15,7	53,8	2,43		
ERS-2018-28	ERS	2018	5	0	0	95,5	13,5	1	39,3	38,9	78,2	1,01		
ERS-2018-4	ERS	2018	2	1	0	21	10,5	1	9,6	6,5	16,1	1,48		
ERS-2018-7	ERS	2018	3	1	0	48	14,5	2	19,7	17	36,7	1,16		
