ID	Esp	Prov	Bloc	Brout	Stress	Hauteurini	Hauteur	Diam	Ram	Maerien	Mracine	Mtot	Ratio	Mret
CET-2018-10	CET	2018	5	1	2	204	79	12	5	19,9	7,4	27,3	2,69	0,00
CET-2018-11	CET	2018	1	1	0	216	91	14	12	60,6	22,9	83,5	2,65	0,00
CET-2018-12	CET	2018	1	1	2	263	78	9	3	26,6	12,6	39,2	2,11	0,00
CET-2018-13	CET	2018	2	1	0	237	77	12	2	30,3	22,5	52,8	1,35	0,00
CET-2018-14	CET	2018	2	1	2	268	80,5	8,5	8	34,7	10,9	45,6	3,18	0,00
CET-2018-17	CET	2018	5	0	0	210	86,5	15	4	57,3	28,6	85,9	2	0,00
CET-2018-18	CET	2018	5	0	2	227	65	9	1	19,2	10,4	29,6	1,85	0,00
CET-2018-19	CET	2018	1	0	0	200	54,5	13,5	3	24,8	17,3	42,1	1,43	0,00
CET-2018-2	CET	2018	2	1	0	217	89,5	12,5	7	54,2	30,1	84,3	1,8	0,00
CET-2018-20	CET	2018	1	0	2	242	87,7	10	6	36,6	9,9	46,5	3,7	0,00
CET-2018-21	CET	2018	2	0	0	226	101	11	2	53,5	29,1	82,6	1,84	0,00
CET-2018-22	CET	2018	2	0	2	176	83	9,5	6	33,3	11,2	44,5	2,97	0,00
CET-2018-23	CET	2018	3	0	0	295	106	13,5	5	64,1	29,5	93,6	2,17	0,00
CET-2018-25	CET	2018	3	0	2	291	92	9,5	5	50,1	22,8	72,9	2,2	0,00
CET-2018-26	CET	2018	4	0	0	248	73,5	9,5	5	23,3	11	34,3	2,12	0,00
CET-2018-27	CET	2018	4	0	2	107	81,5	8,5	9	28,3	10	38,3	2,83	0,00
CET-2018-28	CET	2018	5	0	0	126	92	13,5	6	36,8	15,2	52	2,42	0,00
CET-2018-29	CET	2018	5	0	2	302	85	11	3	34,2	14,6	48,8	2,34	0,00
CET-2018-3	CET	2018	2	1	2	217	81,5	10	7	32,1	14,4	46,5	2,23	0,00
CET-2018-30	CET	2018	1	0	2	215	22	5	1	1,5	1,1	2,6	1,36	0,00
CET-2018-4	CET	2018	3	1	0	183	90	14,5	5	59,3	38,2	97,5	1,55	0,00
CET-2018-5	CET	2018	3	1	2	170	70,5	10	3	22,4	7,7	30,1	2,91	0,00
CET-2018-6	CET	2018	4	1	0	301	79	11	6	40,5	14,9	55,4	2,72	0,00
CET-2018-8	CET	2018	4	1	2	298	80,5	11	7	29,6	9,1	38,7	3,25	0,00
CET-2018-9	CET	2018	5	1	0	275	85,5	14,5	10	53,3	25	78,3	2,13	0,00
CET-2050-1	CET	2050	4	1	0	305	88	11,5	4	46,2	28	74,2	1,65	0,00
CET-2050-10	CET	2050	2	1	2	465	101	10	5	47,1	20,6	67,7	2,29	0,00
CET-2050-11	CET	2050	3	1	0	527	93,5	10,5	10	52,9	30,1	83	1,76	0,00
CET-2050-12	CET	2050	3	1	2	197	84,5	9	1	23,6	7	30,6	3,37	0,00
CET-2050-14	CET	2050	4	1	2	453	101	9,5	13	45	10,8	55,8	4,17	0,00
CET-2050-16	CET	2050	4	0	0	415	84,5	13	9	61,5	38,6	100,1	1,59	0,00
CET-2050-19	CET	2050	4	0	2	529	100	11	6	56,6	21,3	77,9	2,66	0,00
CET-2050-20	CET	2050	5	0	0	499	97	15,5	10	64,4	22	86,4	2,93	0,00
CET-2050-21	CET	2050	5	0	2	133	94	8,5	3	26,6	7,9	34,5	3,37	0,00
CET-2050-22	CET	2050	1	0	0	385	106	13	10	70,1	29,1	99,2	2,41	0,00
CET-2050-23	CET	2050	1	0	2	282	69	9,5	5	29,3	8,5	37,8	3,45	0,00
CET-2050-24	CET	2050	2	0	0	550	113	16	4	78,4	26	104,4	3,02	0,00
CET-2050-25	CET	2050	2	0	2	337	81	10,5	8	38,4	12,7	51,1	3,02	0,00
CET-2050-26	CET	2050	3	0	0	295	105,5	12	10	51,5	31,4	82,9	1,64	0,00
CET-2050-27	CET	2050	3	0	2	448	90	9,5	9	41,5	15	56,5	2,77	0,00
CET-2050-4	CET	2050	4	1	2	394	95	12	10	60,8	20,8	81,6	2,92	0,00
CET-2050-5	CET	2050	5	1	0	225	80,3	10,5	2	20,5	9,3	29,8	2,2	0,00
CET-2050-6	CET	2050	5	1	2	477	111,5	11	17	53,4	14,1	67,5	3,79	0,00
CET-2050-7	CET	2050	1	1	0	425	91,5	13,5	4	54,4	25	79,4	2,18	0,00
CET-2050-8	CET	2050	1	1	2	512	96,5	11,5	14	59	20,7	79,7	2,85	0,00
CET-2050-9	CET	2050	2	1	0	571	90,5	11,5	8	64,3	29,8	94,1	2,16	0,00
CET-2080-1	CET	2050	2	1	0	280	62	12	8	42,3	21,1	63,4	2	0,00
CET-2080-10	CET	2080	1	1	2	281	91	9,5	8	39,5	8,1	47,6	4,88	0,00
CET-2080-12	CET	2080	2	1	0	273	95	5	0	14,1	4,1	18,2	3,44	0,00
CET-2080-13	CET	2080	2	1	2	232	75	9	3	32,4	12	44,4	2,7	0,00
CET-2080-14	CET	2080	3	1	0	313	99	12	6	57,3	18	75,3	3,18	0,00
CET-2080-15	CET	2080	4	0	0	318	88	11,5	6	42,2	19,5	61,7	2,16	0,00
CET-2080-16	CET	2080	4	0	2	192	67	8,5	2	24,1	4,9	29	4,92	0,00
CET-2080-17	CET	2080	5	0	0	225	68	11	4	34	12,5	46,5	2,72	0,00
CET-2080-18	CET	2080	5	0	2	276	83,5	10	4	42,4	14,7	57,1	2,88	0,00
CET-2080-19	CET	2080	1	0	0	288	103	13	10	60,5	20,7	81,2	2,92	0,00
CET-2080-2	CET	2080	2	1	2	225	75	10,5	13	47,2	13,8	61	3,42	0,00
CET-2080-21	CET	2080	1	0	2	194	56,8	10	5	35,4	11,2	46,6	3,16	0,00
CET-2080-22	CET	2080	2	0	0	271	76	10	6	34,4	12,5	46,9	2,75	0,00
CET-2080-23	CET	2080	2	0	2	310	79	11,5	5	31,9	11,2	43,1	2,85	0,00
CET-2080-24	CET	2080	3	0	0	229	111	8,5	4	42,2	12,6	54,8	3,35	0,00
CET-2080-25	CET	2080	3	0	2	162	82	9	7	27,1	5,3	32,4	5,11	0,00
CET-2080-26	CET	2080	4	0	0	323	77	10,5	5	42,1	16,4	58,5	2,57	0,00
CET-2080-27	CET	2080	4	0	2	275	95	9	3	29,2	5,2	34,4	5,62	0,00
CET-2080-28	CET	2080	5	0	2	230	83,5	11	6	32,7	6,9	39,6	4,74	0,00
CET-2080-3	CET	2080	3	1	0	254	104	10	9	49	14,4	63,4	3,4	0,00
CET-2080-4	CET	2080	3	1	2	148	69	6,5	3	14,7	3,8	18,5	3,87	0,00
CET-2080-5	CET	2080	4	1	0	143	105,5	11,5	8	52,9	13	65,9	4,07	0,00
CET-2080-6	CET	2080	4	1	2	250	78,5	9,5	5	41,6	13,9	55,5	2,99	0,00
CET-2080-7	CET	2080	5	1	0	132	74,5	12	8	42,3	12,7	55	3,33	0,00
CET-2080-8	CET	2080	5	1	2	184	62	5,5	1	5,2	1,8	7	2,89	0,00
CET-2080-9	CET	2080	1	1	0	214	84	11	7	23,7	8,6	32,3	2,76	0,00
CHR-2018-1	CHR	2018	1	1	0	153	16	6,5	1	2,7	1,9	4,6	1,42	0,00
CHR-2018-10	CHR	2018	5	1	2	405	41,5	8,5	4	11,5	24,8	36,3	0,46	0,00
CHR-2018-11	CHR	2018	1	0	0	394	41	10	3	18,1	25,8	43,9	0,7	0,00
CHR-2018-12	CHR	2018	1	0	2	196	47	9	5	20,6	10,2	30,8	2,02	0,00
CHR-2018-13	CHR	2018	2	0	0	528	72,5	10,5	3	30,8	29,3	60,1	1,05	0,00
CHR-2018-14	CHR	2018	2	0	2	232	65,5	10	3	27,5	25,8	53,3	1,07	0,00
CHR-2018-15	CHR	2018	3	0	0	422	50	10,5	1	13,2	19,2	32,4	0,69	0,00
CHR-2018-16	CHR	2018	3	0	2	470	48,5	9,5	4	28,6	22,7	51,3	1,26	0,00
CHR-2018-17	CHR	2018	4	0	0	202	39	11	4	11,5	16,1	27,6	0,71	0,00
CHR-2018-18	CHR	2018	4	0	2	528	33	10,5	5	17,2	23,8	41	0,72	0,00
CHR-2018-19	CHR	2018	5	0	0	214	30,5	8	1	8	11,3	19,3	0,71	0,00
CHR-2018-2	CHR	2018	1	1	2	554	85	10	5	29,9	26,9	56,8	1,11	0,00
CHR-2018-20	CHR	2018	5	0	2	501	37	12	3	21,9	25,2	47,1	0,87	0,00
CHR-2018-3	CHR	2018	2	1	0	167	30	9	1	7,6	7,6	15,2	1	0,00
CHR-2018-4	CHR	2018	2	1	2	233	29	10	3	12,7	16	28,7	0,79	0,00
CHR-2018-5	CHR	2018	3	1	0	455	61,5	12	2	31,5	42,7	74,2	0,74	0,00
CHR-2018-6	CHR	2018	3	1	2	480	54	14	4	24,8	18,1	42,9	1,37	0,00
CHR-2018-7	CHR	2018	4	1	0	540	81	13	4	43,2	23,8	67	1,82	0,00
CHR-2018-8	CHR	2018	4	1	2	470	44,5	9	5	15	18,4	33,4	0,82	0,00
CHR-2018-9	CHR	2018	5	1	0	420	45	9	4	10,5	24,6	35,1	0,43	0,00
CHR-2050-1	CHR	2050	1	1	0	509	68	12	4	30,7	37	67,7	0,83	0,00
CHR-2050-10	CHR	2050	5	1	2	491	80,5	11	3	7,6	7,6	15,2	1	0,00
CHR-2050-11	CHR	2050	1	1	0	375	40	8	1	8,5	25	33,5	0,34	0,00
CHR-2050-12	CHR	2050	1	1	2	414	65,5	9,5	1	19	15,6	34,6	1,22	0,00
CHR-2050-13	CHR	2050	5	0	0	525	74	11,5	2	33,2	37,6	70,8	0,88	0,00
CHR-2050-14	CHR	2050	5	0	2	364	35,5	9	2	11,2	14,7	25,9	0,76	0,00
CHR-2050-15	CHR	2050	1	0	0	462	51,5	11	3	21	27,6	48,6	0,76	0,00
CHR-2050-16	CHR	2050	1	0	2	440	46	9	2	22,7	31,2	53,9	0,73	0,00
CHR-2050-17	CHR	2050	2	0	0	349	76	14,5	4	57,5	52,6	110,1	1,09	0,00
CHR-2050-18	CHR	2050	2	0	2	541	59	11	7	28	14,1	42,1	1,99	0,00
CHR-2050-19	CHR	2050	3	0	0	224	53,5	10	2	21,4	15,9	37,3	1,35	0,00
CHR-2050-2	CHR	2050	1	1	2	172	31,5	8	3	7,3	5,1	12,4	1,43	0,00
CHR-2050-20	CHR	2050	3	0	2	453	70	8,5	3	27,4	10,8	38,2	2,54	0,00
CHR-2050-21	CHR	2050	4	0	0	404	78	13,5	3	38,6	27,2	65,8	1,42	0,00
CHR-2050-22	CHR	2050	4	0	2	243	40	8	3	10,4	7,3	17,7	1,42	0,00
CHR-2050-23	CHR	2050	5	0	0	349	68	11	2	35,2	17,7	52,9	1,99	0,00
CHR-2050-24	CHR	2050	5	0	2	552	80,5	11	4	31,7	19,4	51,1	1,63	0,00
CHR-2050-25	CHR	2050	1	0	2	516	74,5	9	2	30,8	18,3	49,1	1,68	0,00
CHR-2050-3	CHR	2050	2	1	0	267	60	11	3	32,6	34,5	67,1	0,94	0,00
CHR-2050-4	CHR	2050	2	1	2	193	23,5	9	2	4,9	4,5	9,4	1,09	0,00
CHR-2050-5	CHR	2050	3	1	0	422	66	14	3	29,1	28,3	57,4	1,03	0,00
CHR-2050-6	CHR	2050	3	1	2	508	68	12	3	36,5	28,4	64,9	1,29	0,00
CHR-2050-7	CHR	2050	4	1	0	560	63,5	13	3	35,3	34,6	69,9	1,02	0,00
CHR-2050-8	CHR	2050	4	1	2	480	77	10,5	2	34,5	22,2	56,7	1,55	0,00
CHR-2050-9	CHR	2050	5	1	0	489	49,5	12	4	27,7	27,8	55,5	1	0,00
CHR-2080-1	CHR	2080	3	1	0	220	23	8	3	6,2	6,4	12,6	0,97	0,00
CHR-2080-10	CHR	2080	2	1	0	368	42	11	5	29,2	47,2	76,4	0,62	0,00
CHR-2080-11	CHR	2080	2	1	2	309	34	12	5	12,7	19	31,7	0,67	0,00
CHR-2080-12	CHR	2080	3	1	0	296	44,5	13	3	22	22,7	44,7	0,97	0,00
CHR-2080-13	CHR	2080	1	0	0	476	61	9,5	3	21	17,5	38,5	1,2	0,00
CHR-2080-14	CHR	2080	1	0	2	291	54,5	8,5	2	13,4	11,8	25,2	1,14	0,00
CHR-2080-15	CHR	2080	2	0	0	220	34	13	3	10,9	14,5	25,4	0,75	0,00
CHR-2080-16	CHR	2080	2	0	2	224	57	10	3	21,4	23,7	45,1	0,9	0,00
CHR-2080-17	CHR	2080	3	0	0	202	35,5	15	5	13,1	16,4	29,5	0,8	0,00
CHR-2080-19	CHR	2080	3	0	2	422	41	12	3	14,4	18,1	32,5	0,8	0,00
CHR-2080-2	CHR	2080	3	1	2	288	36,5	12	3	12,2	13,8	26	0,88	0,00
CHR-2080-20	CHR	2080	4	0	0	531	50,5	12,5	6	31,7	27,7	59,4	1,14	0,00
CHR-2080-21	CHR	2080	4	0	2	262	68,5	10	3	21,9	12,8	34,7	1,71	0,00
CHR-2080-22	CHR	2080	5	0	0	305	32	8	3	5,5	6,6	12,1	0,83	0,00
CHR-2080-23	CHR	2080	5	0	2	497	60	10	2	24,8	19,5	44,3	1,27	0,00
CHR-2080-24	CHR	2080	1	0	2	600	60,5	10	4	27,2	26	53,2	1,05	0,00
CHR-2080-3	CHR	2080	4	1	0	553	93,5	12	1	33,8	33,8	67,6	1	0,00
CHR-2080-4	CHR	2080	4	1	2	314	44	7,5	1	7,4	9,2	16,6	0,8	0,00
CHR-2080-6	CHR	2080	5	1	0	435	88,5	13	3	34,1	36,7	70,8	0,93	0,00
CHR-2080-7	CHR	2080	5	1	2	325	64,5	9	2	16,9	24,3	41,2	0,7	0,00
CHR-2080-8	CHR	2080	1	1	0	348	33,5	8,5	3	13,3	6,3	19,6	2,11	0,00
CHR-2080-9	CHR	2080	1	1	2	305	78	9	4	26,8	11,1	37,9	2,41	0,00
ERS-2018-1	ERS	2018	1	1	0	245	86,5	10,5	1	26,6	17,1	43,7	1,56	0,00
ERS-2018-10	ERS	2018	4	1	0	572	105,5	10,5	1	29,5	17,6	47,1	1,68	0,00
ERS-2018-11	ERS	2018	4	1	1	565	105,5	12	1	33,7	27,3	61	1,23	0,00
ERS-2018-12	ERS	2018	4	1	2	604	119,6	9,5	2	40,9	18,9	59,8	2,16	0,00
ERS-2018-13	ERS	2018	5	1	0	640	60,5	10	1	18	17,5	35,5	1,03	0,00
ERS-2018-14	ERS	2018	5	1	1	478	109	11	1	36,2	45,3	81,5	0,8	0,00
ERS-2018-15	ERS	2018	5	1	2	538	110	9,5	3	36,9	14,2	51,1	2,6	0,00
ERS-2018-16	ERS	2018	1	0	0	480	57	9	2	10,5	6,4	16,9	1,64	0,00
ERS-2018-17	ERS	2018	1	0	1	331	41,5	8,5	3	7,9	5	12,9	1,58	0,00
ERS-2018-18	ERS	2018	1	0	2	559	84,5	10,5	2	24,6	14	38,6	1,76	0,00
ERS-2018-19	ERS	2018	2	0	0	391	82,5	10	2	22,9	17,7	40,6	1,29	0,00
ERS-2018-2	ERS	2018	1	1	1	436	96,5	11	2	30,9	15	45,9	2,06	0,00
ERS-2018-20	ERS	2018	2	0	1	505	112	10	1	30,2	9,8	40	3,08	0,00
ERS-2018-21	ERS	2018	2	0	2	580	106,5	10	4	34,9	13,7	48,6	2,55	0,00
ERS-2018-22	ERS	2018	3	0	0	570	132	13	3	53,9	30,1	84	1,79	0,00
ERS-2018-23	ERS	2018	3	0	1	511	57,5	11	4	23,4	23,6	47	0,99	0,00
ERS-2018-24	ERS	2018	3	0	2	545	63	9	3	22,4	14,1	36,5	1,59	0,00
ERS-2018-25	ERS	2018	4	0	0	638	125,5	11	3	38,1	15,7	53,8	2,43	0,00
ERS-2018-26	ERS	2018	4	0	1	561	68,5	10,5	2	25,5	12,3	37,8	2,07	0,00
ERS-2018-27	ERS	2018	4	0	2	544	58,5	11	4	16,5	15,7	32,2	1,05	0,00
ERS-2018-28	ERS	2018	5	0	0	435	95,5	13,5	1	39,3	38,9	78,2	1,01	0,00
ERS-2018-29	ERS	2018	5	0	1	186	31,5	8,5	2	8,8	6,6	15,4	1,33	0,00
ERS-2018-3	ERS	2018	1	1	2	535	75,5	11	1	27,4	23,6	51	1,16	0,00
ERS-2018-30	ERS	2018	5	0	2	440	93	11,5	2	33,8	27,4	61,2	1,23	0,00
ERS-2018-4	ERS	2018	2	1	0	170	21	10,5	1	9,6	6,5	16,1	1,48	0,00
ERS-2018-5	ERS	2018	2	1	1	506	109,5	10,5	2	36,5	30,7	67,2	1,19	0,00
ERS-2018-6	ERS	2018	2	1	2	264	65	10	1	23,4	17,9	41,3	1,31	0,00
ERS-2018-7	ERS	2018	3	1	0	423	48	14,5	2	19,7	17	36,7	1,16	0,00
ERS-2018-8	ERS	2018	3	1	1	466	89,5	11	2	31,1	31,3	62,4	0,99	0,00
ERS-2018-9	ERS	2018	3	1	2	409	75	11	2	30,8	14,7	45,5	2,1	0,00
PIB-2018-1	PIB	2018	1	1	0	240	17	6	1	8,6	4,3	12,9	2	4,40
PIB-2018-10	PIB	2018	4	1	0	180	9,5	6,5	1	4,3	3,5	7,8	1,23	5,00
PIB-2018-11	PIB	2018	4	1	1	244	15	7,5	2	12,8	5,5	18,3	2,33	7,10
PIB-2018-12	PIB	2018	4	1	2	250	11	7	1	6	4,7	10,7	1,28	6,90
PIB-2018-15	PIB	2018	5	1	2	155	13	9	4	11	5,6	16,6	1,96	0,60
PIB-2018-16	PIB	2018	1	0	0	200	24	10	7	22,9	14,2	37,1	1,61	0,00
PIB-2018-17	PIB	2018	1	0	1	186	30	11,5	6	25,6	13,4	39	1,91	0,00
PIB-2018-18	PIB	2018	1	0	2	210	19,5	9,5	6	20,8	9,8	30,6	2,12	0,00
PIB-2018-19	PIB	2018	2	0	0	169	21	9,5	7	16,7	9,2	25,9	1,82	0,00
PIB-2018-2	PIB	2018	1	1	1	237	11,5	8	2	10,2	8,9	19,1	1,15	2,80
