ID	Esp	Prov	Bloc	Brout	Stress	Mort
PIB-2018-1	PIB	2018	1	1	0	0
PIB-2018-10	PIB	2018	4	1	0	0
PIB-2018-11	PIB	2018	4	1	1	0
PIB-2018-12	PIB	2018	4	1	2	0
PIB-2018-13	PIB	2018	5	1	0	1
PIB-2018-14	PIB	2018	5	1	1	1
PIB-2018-15	PIB	2018	5	1	2	0
PIB-2018-16	PIB	2018	1	0	0	0
PIB-2018-17	PIB	2018	1	0	1	0
PIB-2018-18	PIB	2018	1	0	2	0
PIB-2018-19	PIB	2018	2	0	0	0
PIB-2018-2	PIB	2018	1	1	1	0
PIB-2018-20	PIB	2018	2	0	1	0
PIB-2018-21	PIB	2018	2	0	2	0
PIB-2018-22	PIB	2018	3	0	0	0
PIB-2018-23	PIB	2018	3	0	1	0
PIB-2018-24	PIB	2018	3	0	2	1
PIB-2018-25	PIB	2018	4	0	0	0
PIB-2018-26	PIB	2018	4	0	1	0
PIB-2018-27	PIB	2018	4	0	2	0
PIB-2018-28	PIB	2018	5	0	0	0
PIB-2018-29	PIB	2018	5	0	1	0
PIB-2018-3	PIB	2018	1	1	2	0
PIB-2018-30	PIB	2018	5	0	2	0
PIB-2018-4	PIB	2018	2	1	0	0
PIB-2018-5	PIB	2018	2	1	1	0
PIB-2018-6	PIB	2018	2	1	2	0
PIB-2018-7	PIB	2018	3	1	0	1
PIB-2018-8	PIB	2018	3	1	1	0
PIB-2018-9	PIB	2018	3	1	2	0
PIB-2050-1	PIB	2050	1	1	0	1
PIB-2050-10	PIB	2050	3	1	1	0
PIB-2050-11	PIB	2050	3	1	2	0
PIB-2050-12	PIB	2050	4	1	0	0
PIB-2050-13	PIB	2050	4	1	1	1
PIB-2050-14	PIB	2050	4	1	2	1
PIB-2050-15	PIB	2050	5	1	0	0
PIB-2050-16	PIB	2050	1	0	0	0
PIB-2050-17	PIB	2050	1	0	1	0
PIB-2050-18	PIB	2050	1	0	2	0
PIB-2050-19	PIB	2050	2	0	0	0
PIB-2050-20	PIB	2050	2	0	1	0
PIB-2050-21	PIB	2050	2	0	2	0
PIB-2050-22	PIB	2050	3	0	0	0
PIB-2050-23	PIB	2050	3	0	1	0
PIB-2050-24	PIB	2050	3	0	2	0
PIB-2050-25	PIB	2050	4	0	0	0
PIB-2050-26	PIB	2050	4	0	1	0
PIB-2050-27	PIB	2050	4	0	2	0
PIB-2050-28	PIB	2050	5	0	0	0
PIB-2050-29	PIB	2050	5	0	1	0
PIB-2050-30	PIB	2050	5	0	2	0
PIB-2050-4	PIB	2050	1	1	1	0
PIB-2050-5	PIB	2050	1	1	2	0
PIB-2050-6	PIB	2050	2	1	0	0
PIB-2050-7	PIB	2050	2	1	1	0
PIB-2050-8	PIB	2050	2	1	2	0
PIB-2050-9	PIB	2050	3	1	0	1
PIB-2080-1	PIB	2080	3	1	0	1
PIB-2080-10	PIB	2080	5	1	1	1
PIB-2080-11	PIB	2080	5	1	2	0
PIB-2080-12	PIB	2080	1	1	0	0
PIB-2080-13	PIB	2080	1	1	1	0
PIB-2080-14	PIB	2080	1	1	2	0
PIB-2080-15	PIB	2080	4	0	0	0
PIB-2080-16	PIB	2080	4	0	1	0
PIB-2080-17	PIB	2080	4	0	2	0
PIB-2080-18	PIB	2080	5	0	0	0
PIB-2080-19	PIB	2080	5	0	1	0
PIB-2080-2	PIB	2080	3	1	1	0
PIB-2080-20	PIB	2080	5	0	2	0
PIB-2080-21	PIB	2080	1	0	0	0
PIB-2080-22	PIB	2080	1	0	1	0
PIB-2080-23	PIB	2080	1	0	2	0
PIB-2080-24	PIB	2080	2	0	0	0
PIB-2080-25	PIB	2080	2	0	1	0
PIB-2080-26	PIB	2080	2	0	2	0
PIB-2080-27	PIB	2080	3	0	1	0
PIB-2080-28	PIB	2080	3	0	2	0
PIB-2080-3	PIB	2080	3	1	2	0
PIB-2080-5	PIB	2080	4	1	0	0
PIB-2080-6	PIB	2080	4	1	1	1
PIB-2080-7	PIB	2080	4	1	2	1
PIB-2080-9	PIB	2080	5	1	0	1
PIB-2050-2	PIB	2050	NA	1	NA	1
PIB-2050-3	PIB	2050	NA	1	NA	1
PIB-2080-4	PIB	2080	NA	1	NA	1
PIB-2080-8	PIB	2080	NA	1	NA	1
