ID_lab	ID_plant	N	Phen	Flav						
685645	PIB-2018-1	19,7	13	2,9						
685646	PIB-2018-2	17,4	22	4,4						
685647	PIB-2018-3	20,9	12	3,4						
685648	PIB-2018-4	15,7	15	2,8						
685649	PIB-2018-5	25,0	15	1,9						
685650	PIB-2018-6	24,0	15	1,6						
685651	PIB-2018-8	17,8	14	1,8						
685652	PIB-2018-9	18,1	17	1,7						
685653	PIB-2018-10	21,0	19	1,5						
685654	PIB-2018-11	17,3	19	2,0						
685655	PIB-2018-12	19,9	17	1,9						
685656	PIB-2018-15	16,7	19	2,4						
685657	PIB-2018-16	10,7	24	1,8						
685658	PIB-2018-17	15,8	22	2,9						
685659	PIB-2018-18	22,0	23	2,5						
685660	PIB-2018-19	15,7	17	2,7						
685661	PIB-2018-20	19,1	24	3,0						
685662	PIB-2018-21	17,1	19	2,8						
685663	PIB-2018-22	13,0	22	3,0						
685664	PIB-2018-23	19,1	20	3,4						
685665	PIB-2018-25	16,8	21	0,9						
685666	PIB-2018-26	16,2	19	2,6						
685667	PIB-2018-27	14,0	23	3,3						
685668	PIB-2018-28	16,4	23	2,4						
685669	PIB-2018-29	22,2	19	2,5						
685670	PIB-2018-30	20,5	14	2,2						
685671	PIB-2050-4	17,3	32	2,1						
685672	PIB-2050-5	16,7	17	2,3						
685673	PIB-2050-6	14,0	16	1,6						
685674	PIB-2050-7	16,0	18	1,5						
685675	PIB-2050-8	16,1	28	2,0						
685676	PIB-2050-10	14,9	17	2,2						
685677	PIB-2050-11	21,0	12	1,6						
685678	PIB-2050-12	18,3	16	1,6						
685679	PIB-2050-15	17,2	14	1,8						
685680	PIB-2050-16	10,8	34	2,9						
685681	PIB-2050-17	15,5	19	3,0						
685682	PIB-2050-18	16,4	23	3,2						
685683	PIB-2050-19	9,4	21	2,4						
685684	PIB-2050-20	13,7	25	1,8						
685685	PIB-2050-21	10,2	17	2,4						
685686	PIB-2050-22	11,8	20	2,3						
685687	PIB-2050-23	12,1	22	2,1						
685688	PIB-2050-24	17,3	19	2,5						
685689	PIB-2050-25	9,2	29	2,6						
685690	PIB-2050-26	15,7	23	2,6						
685691	PIB-2050-27	9,5	26	5,0						
685692	PIB-2050-28	11,3	27	2,4						
685693	PIB-2050-29	14,9	24	3,8						
685694	PIB-2050-30	13,5	17	2,6						
685695	PIB-2080-2	13,3	15	1,7						
685696	PIB-2080-3	19,2	14	1,9						
685697	PIB-2080-5	20,1	23	2,2						
685698	PIB-2080-11	22,4	13	1,3						
685699	PIB-2080-12	12,5	15	2,0						
685700	PIB-2080-13	19,0	10	1,5						
685701	PIB-2080-14	16,2	16	1,9						
685702	PIB-2080-15	15,7	26	2,7						
685703	PIB-2080-16	14,3	26	2,5						
685704	PIB-2080-17	9,2	18	1,6						
685705	PIB-2080-18	14,6	31	2,7						
685706	PIB-2080-19	13,8	24	3,0						
685707	PIB-2080-20	12,0	22	1,9						
685708	PIB-2080-21	13,5	21	2,9						
685709	PIB-2080-22	17,7	23	2,5						
685710	PIB-2080-23	12,6	22	2,8						
685711	PIB-2080-24	11,7	26	3,1						
685712	PIB-2080-25	13,4	22	3,0						
685713	PIB-2080-26	12,6	29	3,2						
685714	PIB-2080-27	13,8	23	3,3						
685715	PIB-2080-28	10,2	23	2,1						
										
