Date	Esp	Prov	ID	M_sac	M_hum	M1	M2
26-06-2019	PIB	50	15	1,22	8,67	3,99	3,94
26-06-2019	THO	18	1	1,25	6,39	3,81	3,6
26-06-2019	ERS	18	28	1,2	7,23	4,76	3,58
26-06-2019	CHR	80	22	1,22	13,6	10,13	5,64
26-06-2019	PIB	80	19	1,22	7,28	3,9	3,88
26-06-2019	THO	50	8	1,22	7,79	3,76	3,76
26-06-2019	THO	80	15	1,23	7,71	6,7	6,68
26-06-2019	PIB	80	11	1,21	7,41	3,62	3,61
26-06-2019	ERS	18	30	1,21	9,3	7,49	7,45
26-06-2019	CHR	80	23	1,24	18,63	11,21	8,15
26-06-2019	ERS	18	25	1,22	9,93	5,5	5,45
26-06-2019	CHR	80	3	1,24	12,62	5,59	5,38
26-06-2019	THO	80	25	1,23	13,12	7,55	7,26
26-06-2019	PIB	50	12	1,24	15,5	7,01	6,98
26-06-2019	THO	50	16	1,24	9,64	7,88	7,82
26-06-2019	PIB	18	11	1,24	15,58	9,78	6,42
26-06-2019	THO	50	17	1,21	17,8	10,06	10,03
26-06-2019	CHR	18	18	1,25	16,79	7,36	7,35
26-06-2019	ERS	18	12	1,26	8,59	7,52	7,3
26-06-2019	PIB	80	17	1,25	9,91	5,22	5,17
26-06-2019	PIB	50	22	1,26	16,4	7,58	7,4
26-06-2019	CHR	80	1	1,24	22,63	8,93	8,8
26-06-2019	THO	50	1	1,26	15,57	6,64	6,79
26-06-2019	ERS	18	22	1,2	9,71	6,97	6,91
26-06-2019	PIB	80	27	1,21	15,75	7,83	7,8
26-06-2019	THO	18	18	1,23	10,43	8,92	8,91
26-06-2019	CHR	18	16	1,23	11,08	9,45	9,45
26-06-2019	PIB	80	3	1,24	11,94	5,53	5,54
26-06-2019	ERS	18	9	1,24	6,28	5,48	5,43
26-06-2019	THO	50	29	1,22	9,23	8,28	8,28
26-06-2019	THO	80	4	1,23	11,98	6,24	6,21
26-06-2019	PIB	50	19	1,24	13,98	6,34	6,33
26-06-2019	ERS	18	4	1,22	15,11	10,34	6,66
26-06-2019	CHR	80	10	1,24	9,67	5,55	4,83
26-06-2019	PIB	80	25	1,25	12,46	5,83	5,83
26-06-2019	THO	80	5	1,22	9,26	5,25	5,16
26-06-2019	CHR	80	16	1,23	7,92	6,52	6,48
26-06-2019	ERS	50	18	1,25	6	5,31	5,29
26-06-2019	PIB	50	21	1,25	7,8	5,34	5,33
26-06-2019	THO	50	26	1,22	7,09	6,16	6,13
26-06-2019	ERS	18	16	1,25	10,96	4,72	4,64
26-06-2019	CHR	50	15	1,22	14,01	5,78	5,73
26-06-2019	PIB	18	16	1,24	11,8	5,33	5,31
26-06-2019	THO	18	26	1,22	7,54	5,08	5,03
26-06-2019	PIB	50	4	1,22	16,63	10,1	6,73
26-06-2019	THO	50	11	1,23	11,67	6,56	5,06
26-06-2019	CHR	18	2	1,21	6,29	5,49	5,46
26-06-2019	PIB	50	18	1,25	7,37	6,01	6
26-06-2019	THO	50	23	1,25	5,6	4,9	4,89
26-06-2019	ERS	18	18	1,23	6,29	5,47	5,45
