ID_lab	ID_plant	N	Phen	Flav
670701	THO-2018-1	16,0	29	2,8
670702	THO-2018-2	18,2	24	2,7
670703	THO-2018-3	11,9	38	2,6
670704	THO-2018-4	10,6	40	2,7
670705	THO-2018-5	15,3	27	2,4
670706	THO-2018-6	15,5	34	2,6
670707	THO-2018-7	13,9	52	2,9
670708	THO-2018-8	9,5	38	2,3
670709	THO-2018-9	15,4	49	2,9
670710	THO-2018-10	11,8	37	2,4
670711	THO-2018-11	11,3	40	2,9
670712	THO-2018-12	12,2	39	2,7
670713	THO-2018-13	12,2	50	2,6
670714	THO-2018-14	10,3	39	2,2
670715	THO-2018-15	12,5	36	2,4
670716	THO-2018-16	12,4	38	2,4
670717	THO-2018-17	9,6	38	2,5
670718	THO-2018-18	10,4	42	2,2
670719	THO-2018-19	15,6	45	1,6
670720	THO-2018-20	12,0	42	1,7
670721	THO-2018-21	11,2	44	2,2
670722	THO-2018-22	11,9	48	1,8
670723	THO-2018-23	12,7	35	2,8
670724	THO-2018-24	17,4	33	3,0
670725	THO-2018-25	15,8	33	2,7
670726	THO-2018-26	10,4	45	2,8
670727	THO-2018-27	14,4	27	3,1
670728	THO-2050-1	13,0	36	2,1
670729	THO-2050-2	11,4	35	2,6
670730	THO-2050-3	16,2	32	3,1
670731	THO-2050-4	13,5	39	2,0
670732	THO-2050-5	13,5	28	2,1
670733	THO-2050-6	11,1	30	2,3
670734	THO-2050-7	14,9	23	2,4
670735	THO-2050-8	14,9	19	2,0
670736	THO-2050-9	15,9	35	2,9
670737	THO-2050-10	11,6	42	2,5
670738	THO-2050-11	14,7	52	2,2
670739	THO-2050-12	13,8	29	2,3
670740	THO-2050-13	13,5	30	2,6
670741	THO-2050-14	10,5	32	2,5
670742	THO-2050-15	9,6	28	2,4
670743	THO-2050-16	12,9	36	2,9
670744	THO-2050-17	12,0	39	2,3
670745	THO-2050-18	15,1	30	2,9
670746	THO-2050-19	12,4	31	2,4
670747	THO-2050-20	15,8	32	2,7
670748	THO-2050-21	10,1	28	2,6
670749	THO-2050-22	13,6	22	2,1
670750	THO-2050-23	15,3	30	2,5
670751	THO-2050-24	11,2	31	2,0
670752	THO-2050-25	12,4	37	2,7
670753	THO-2050-26	11,1	36	2,6
670754	THO-2050-27	14,7	35	2,5
670755	THO-2050-28	12,8	28	2,5
670756	THO-2050-29	13,6	38	2,6
670757	THO-2080-1	9,9	32	2,3
670758	THO-2080-2	16,9	25	2,7
670759	THO-2080-3	20,9	25	2,5
670760	THO-2080-4	11,3	31	2,7
670761	THO-2080-5	14,3	30	2,8
670762	THO-2080-6	15,6	31	2,8
670763	THO-2080-7	11,5	31	2,3
670764	THO-2080-8	16,4	23	2,7
670765	THO-2080-9	17,3	23	2,7
670766	THO-2080-10	15,0	27	2,3
670767	THO-2080-11	11,9	31	2,3
670768	THO-2080-12	18,0	32	2,3
670769	THO-2080-13	12,0	27	2,5
670770	THO-2080-14	16,8	26	2,7
670771	THO-2080-15	13,7	32	2,5
670772	THO-2080-16	11,2	40	2,5
670773	THO-2080-17	15,6	26	2,5
670774	THO-2080-18	15,6	42	2,6
670775	THO-2080-19	10,3	34	2,3
670776	THO-2080-20	14,7	28	2,6
670777	THO-2080-21	12,1	38	2,7
670778	THO-2080-22	NA	NA	NA
670779	THO-2080-23	NA	NA	NA
670780	THO-2080-24	12,0	34	2,2
670781	THO-2080-25	13,5	28	3,0
670782	THO-2080-26	11,1	25	2,1
670783	THO-2080-27	14,5	38	2,7
670784	THO-2080-28	17,9	25	2,4
670785	THO-2080-29	17,8	23	3,1
670786	THO-2080-30	15,5	34	2,4
